"","id","as","lsg","oldstat","func","rel","assn","drink","status","howknow","cucard","survey","change","why","time","shift","shtime","fam","knnosw","nosw","inc","usenow","nowsw","x","y","distnearest","distcw","distpw","cw50","cw100","cw150","pw50","pw100","pw150","ed","pw","cw","shifted","c50","c50to100","c100to150","p50","p50to100","p100to150","switch","as1to2","as2to3","as3to4","nearest","ed4","safeswitch","safemislabel","safenolabel","switchfunc","arsenic","newstat","as4to965"
"13",14,313,0,1,1,1,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260741.359375,2632753.75,29.7740001678467,29.7740001678467,142.604995727539,1,1,1,0,0,1,5,1,0,0,1,0,0,0,0,1,"switch",0,0,1,"0to50","1to5",NA,NA,NA,NA,"251to350","unsafe",0
"14",15,394,2,0,0,3,0,0,0,2,0,0,"dugnew",NA,12,NA,NA,NA,NA,NA,NA,"",NA,260750.828125,2632771.25,30.5960006713867,30.5960006713867,124.762001037598,1,1,1,0,0,2,0,NA,NA,1,1,0,0,0,0,1,"switch",0,0,1,"0to50","none",NA,NA,NA,NA,"351to450","unsafe",0
"15",16,304,1,0,1,3,0,0,0,2,1,1,"cw",1,12,NA,NA,NA,NA,NA,NA,"",NA,260751.8125,2632789.5,34.5040016174316,34.5040016174316,114.700996398926,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,1,"switch",0,0,1,"0to50","none",NA,NA,NA,NA,"251to350","unsafe",0
"16",17,291,1,2,1,1,1,0,0,12,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260773.734375,2632810.25,63.8040008544922,63.8040008544922,86.2819976806641,0,1,1,0,1,3,0,1,0,0,0,1,0,0,1,1,"switch",0,1,0,"50to100","none",NA,NA,NA,NA,"251to350","unsafe",0
"17",18,321,0,1,1,1,1,0,0,1,1,1,"pw",1,18,NA,NA,NA,NA,NA,NA,"",NA,260783.4375,2632821.25,73.6039962768555,78.1149978637695,73.6039962768555,0,1,1,0,1,3,0,1,0,0,0,1,0,0,1,1,"switch",0,0,1,"50to100","none",NA,NA,NA,NA,"251to350","unsafe",0
"18",19,135,0,1,0,1,1,0,0,1,1,1,"pw",1,30,NA,NA,NA,NA,NA,NA,"",NA,260812.71875,2632825,44.6199989318848,104.841003417969,44.6199989318848,0,0,1,1,1,3,0,1,0,0,0,0,1,1,0,1,"switch",1,0,0,"0to50","none",NA,NA,NA,NA,"51to150","unsafe",0
"19",20,170,0,1,1,1,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260811.4375,2632788.5,67.6549987792969,91.9589996337891,67.6549987792969,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,"switch",1,0,0,"50to100","none",NA,NA,NA,NA,"151to250","unsafe",0
"20",21,180,0,1,1,1,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260809.5,2632773.75,80.6600036621094,89.0350036621094,80.6600036621094,0,1,1,0,1,1,7,1,0,0,0,1,0,0,1,0,"switch",1,0,0,"50to100","6to10",NA,NA,NA,NA,"151to250","unsafe",0
"21",22,144,0,1,1,1,0,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,90.6518402099609,23.7888298034668,52.181999206543,52.181999206543,85.7519989013672,0,1,1,0,1,2,7,1,0,0,0,1,0,0,1,1,"switch",1,0,0,"50to100","6to10",NA,NA,NA,NA,"51to150","unsafe",0
"22",23,143,0,12,1,1,1,0,0,1,1,1,"pw",1,18,NA,NA,NA,NA,NA,NA,"",NA,90.6518402099609,23.7888298034668,52.181999206543,52.181999206543,85.7519989013672,0,1,1,0,1,2,7,1,0,0,0,1,0,0,1,1,"switch",1,0,0,"50to100","6to10",NA,NA,NA,NA,"51to150","unsafe",0
"23",24,233,0,12,1,1,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260701.53125,2632822,50.5340003967285,50.5340003967285,86.2129974365234,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,"switch",0,1,0,"50to100","none",NA,NA,NA,NA,"151to250","unsafe",0
"24",25,283,1,2,1,1,0,0,0,12,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260692.5,2632789.5,31.4220008850098,31.4220008850098,119.5,1,1,1,0,0,1,10,1,0,0,1,0,0,0,0,1,"switch",0,1,0,"0to50","6to10",NA,NA,NA,NA,"251to350","unsafe",0
"25",26,179,0,1,1,2,1,1,0,1,1,1,"pw",1,24,NA,NA,NA,34,NA,NA,"",NA,260689.203125,2632764.5,33.0089988708496,33.0089988708496,144.593002319336,1,1,1,0,0,1,7,1,0,0,1,0,0,0,0,1,"switch",1,0,0,"0to50","6to10",NA,NA,NA,NA,"151to250","unsafe",0
"26",27,254,0,1,1,1,0,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260688.53125,2632754.75,37.8709983825684,37.8709983825684,154.376998901367,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"switch",0,1,0,"0to50","none",NA,NA,NA,NA,"251to350","unsafe",0
"27",28,225,0,12,1,2,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260698.015625,2632732.25,48.3730010986328,48.3730010986328,175.951995849609,1,1,1,0,0,0,5,1,0,0,1,0,0,0,0,0,"switch",0,1,0,"0to50","1to5",NA,NA,NA,NA,"151to250","unsafe",0
"28",29,242,1,2,1,1,0,0,0,1,0,0,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260696.171875,2632734.5,47.3089981079102,47.3089981079102,173.820999145508,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"switch",0,1,0,"0to50","none",NA,NA,NA,NA,"151to250","unsafe",0
"29",30,207,0,12,0,1,0,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260722.8125,2632721,54.0139999389648,54.0139999389648,177.88200378418,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"switch",0,1,0,"50to100","none",NA,NA,NA,NA,"151to250","unsafe",0
"30",31,162,2,2,1,1,0,0,0,2,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260677.796875,2632722.5,67.7850036621094,67.7850036621094,187.901000976562,0,1,1,0,0,0,8,1,0,0,0,1,0,0,0,0,"switch",1,0,0,"50to100","6to10",NA,NA,NA,NA,"151to250","unsafe",0
"31",32,234,0,12,1,1,1,0,0,2,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260679.203125,2632705.25,81.1380004882812,81.1380004882812,204.697006225586,0,1,1,0,0,0,8,1,0,0,0,1,0,0,0,0,"switch",0,1,0,"50to100","6to10",NA,NA,NA,NA,"151to250","unsafe",0
"32",33,349,0,12,1,1,0,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260678.09375,2632689.5,95.4599990844727,95.4599990844727,220.380004882812,0,1,1,0,0,0,10,1,0,0,0,1,0,0,0,0,"switch",0,0,1,"50to100","6to10",NA,NA,NA,NA,"251to350","unsafe",0
"33",34,308,0,1,0,1,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260670.734375,2632696.5,93.0009994506836,93.0009994506836,214.634002685547,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,"switch",0,0,1,"50to100","1to5",NA,NA,NA,NA,"251to350","unsafe",0
"34",35,213,0,12,1,1,0,0,0,0,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260676.078125,2632669.5,114.417999267578,114.417999267578,208.429000854492,0,0,1,0,0,0,16,1,0,0,0,0,1,0,0,0,"switch",0,1,0,"100to150","over10",NA,NA,NA,NA,"151to250","unsafe",0
"35",36,113,1,2,0,1,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260655.015625,2632660.75,131.744995117188,131.744995117188,197.231994628906,0,0,1,0,0,0,10,1,0,0,0,0,1,0,0,0,"switch",1,0,0,"100to150","6to10",NA,NA,NA,NA,"51to150","unsafe",0
"36",37,93,1,2,1,1,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260644.265625,2632637,157.628997802734,157.628997802734,173.203994750977,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,"switch",0,0,0,"150plus","6to10",NA,NA,NA,NA,"51to150","unsafe",0
"37",38,336,2,0,1,1,1,0,2,NA,1,1,"pw",1,12,NA,NA,NA,NA,NA,NA,"",NA,260664.609375,2632633.75,151.919998168945,151.919998168945,171.322006225586,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,"switch",0,0,1,"150plus","6to10",NA,NA,NA,NA,"251to350","unsafe",0
"38",39,149,0,0,1,2,0,0,0,2,0,2,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,90.6502532958984,23.7863502502441,107.69100189209,155.858001708984,107.69100189209,0,0,0,0,0,3,10,1,0,0,0,0,0,0,0,1,"switch",1,0,0,"100to150","6to10",NA,NA,NA,NA,"51to150","unsafe",0
"39",40,83,0,12,1,1,0,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260560.53125,2632547.5,105.667999267578,148.210006713867,105.667999267578,0,0,1,0,0,3,10,1,0,0,0,0,1,0,0,1,"switch",0,0,0,"100to150","6to10",NA,NA,NA,NA,"51to150","unsafe",0
"40",41,206,3,0,0,2,1,0,2,NA,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260546.1875,2632523,98.7789993286133,120.897003173828,98.7789993286133,0,0,1,0,1,4,0,1,0,0,0,0,1,0,1,1,"switch",0,1,0,"50to100","none",NA,NA,NA,NA,"151to250","unsafe",0
"41",42,137,0,1,1,1,1,1,0,1,0,0,"pw",1,24,NA,NA,NA,3,NA,NA,"",NA,260546.03125,2632533.75,105.625999450684,131.337005615234,105.625999450684,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,1,"switch",1,0,0,"100to150","none",NA,NA,NA,NA,"51to150","unsafe",0
"42",43,280,1,2,1,1,0,23,0,2,0,0,"no",NA,NA,NA,NA,NA,2,NA,NA,"",NA,90.6502532958984,23.7863502502441,107.69100189209,155.858001708984,107.69100189209,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,"noswitch",0,1,0,"100to150","none",NA,NA,NA,NA,"251to350","unsafe",0
"43",44,81,0,12,1,1,0,23,0,12,1,1,"no",NA,NA,NA,NA,NA,2,NA,NA,"",NA,90.6502532958984,23.7863502502441,107.69100189209,155.858001708984,107.69100189209,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,"noswitch",0,0,0,"100to150","none",NA,NA,NA,NA,"51to150","unsafe",0
"44",45,148,0,12,1,1,1,0,0,1,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260582.34375,2632581.75,125.317001342773,187.606002807617,125.317001342773,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,"switch",1,0,0,"100to150","1to5",NA,NA,NA,NA,"51to150","unsafe",0
"45",46,192,0,12,1,2,3,23,0,2,0,2,"no",NA,NA,NA,NA,NA,1,NA,NA,"",NA,90.6502532958984,23.7863502502441,107.69100189209,155.858001708984,107.69100189209,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,"noswitch",1,0,0,"100to150","none",NA,NA,NA,NA,"151to250","unsafe",0
"46",47,274,0,2,1,1,0,0,0,2,1,1,"cw",1,24,NA,NA,NA,NA,NA,NA,"",NA,90.6502532958984,23.7863502502441,107.69100189209,155.858001708984,107.69100189209,0,0,0,0,0,3,10,0,1,0,0,0,0,0,0,1,"switch",0,1,0,"100to150","6to10",NA,NA,NA,NA,"251to350","unsafe",0
"47",48,249,0,2,1,1,3,1,0,24,0,0,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,90.6502532958984,23.7863502502441,107.69100189209,155.858001708984,107.69100189209,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,"switch",0,1,0,"100to150","none",NA,NA,NA,NA,"151to250","unsafe",0
"48",49,395,0,2,1,1,0,23,0,1,1,1,"no",NA,NA,NA,NA,NA,2,NA,NA,"",NA,90.6502532958984,23.7863502502441,107.69100189209,155.858001708984,107.69100189209,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,"noswitch",0,0,1,"100to150","none",NA,NA,NA,NA,"351to450","unsafe",0
"49",50,275,0,2,1,1,0,0,0,1,1,1,"cw",1,30,NA,NA,NA,NA,NA,NA,"",NA,90.6502532958984,23.7863502502441,107.69100189209,155.858001708984,107.69100189209,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,"switch",0,1,0,"100to150","none",NA,NA,NA,NA,"251to350","unsafe",0
"50",51,291,0,2,1,1,0,0,0,12,1,1,"cw",1,24,NA,NA,NA,NA,NA,NA,"",NA,90.6519393920898,23.7891998291016,54.5699996948242,94.4140014648438,54.5699996948242,0,1,1,0,1,4,0,0,1,0,0,1,0,0,1,1,"switch",0,1,0,"50to100","none",NA,NA,NA,NA,"251to350","unsafe",0
"51",52,83,1,0,1,1,0,1,0,1,0,0,"cw",1,24,NA,NA,NA,2,NA,NA,"",NA,90.6519393920898,23.7891998291016,54.5699996948242,94.4140014648438,54.5699996948242,0,1,1,0,1,4,0,0,1,0,0,1,0,0,1,1,"switch",0,0,0,"50to100","none",NA,NA,NA,NA,"51to150","unsafe",0
"52",53,367,1,2,1,1,1,0,0,12,1,1,"cw",1,24,NA,NA,NA,NA,NA,NA,"",NA,90.6519393920898,23.7891998291016,54.5699996948242,94.4140014648438,54.5699996948242,0,1,1,0,1,4,5,0,1,0,0,1,0,0,1,1,"switch",0,0,1,"50to100","1to5",NA,NA,NA,NA,"351to450","unsafe",0
"53",54,290,0,2,1,1,0,0,0,12,1,1,"cw",1,24,NA,NA,NA,NA,NA,NA,"",NA,90.6519393920898,23.7891998291016,54.5699996948242,94.4140014648438,54.5699996948242,0,1,1,0,1,4,0,0,1,0,0,1,0,0,1,1,"switch",0,1,0,"50to100","none",NA,NA,NA,NA,"251to350","unsafe",0
"54",55,78,2,2,1,1,1,0,0,2,1,1,"cw",1,36,NA,NA,NA,NA,NA,NA,"",NA,90.6519393920898,23.7891998291016,54.5699996948242,94.4140014648438,54.5699996948242,0,1,1,0,1,4,10,0,1,0,0,1,0,0,1,1,"switch",0,0,0,"50to100","6to10",NA,NA,NA,NA,"51to150","unsafe",0
"55",56,340,2,0,0,1,1,0,0,2,1,1,"cw",1,24,NA,NA,NA,NA,NA,NA,"",NA,90.6519393920898,23.7891998291016,54.5699996948242,94.4140014648438,54.5699996948242,0,1,1,0,1,4,7,0,1,0,0,1,0,0,1,1,"switch",0,0,1,"50to100","6to10",NA,NA,NA,NA,"251to350","unsafe",0
"56",57,267,3,0,0,1,1,0,0,2,0,0,"cw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260772.25,2632874.75,72.5410003662109,112.426002502441,72.5410003662109,0,0,1,0,3,7,0,0,1,0,0,0,1,0,1,1,"switch",0,1,0,"50to100","none",NA,NA,NA,NA,"251to350","unsafe",0
"57",58,252,1,0,1,3,1,23,2,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,"",2,260711.09375,2632906.75,3.61800003051758,131.977005004883,3.61800003051758,0,0,1,1,1,7,5,0,0,0,0,0,1,1,0,2,"noswitch",0,1,0,"0to50","1to5",NA,NA,NA,NA,"251to350","unsafe",0
"58",59,248,1,2,1,2,0,0,0,2,1,1,"pw",1,36,NA,NA,NA,NA,NA,NA,"",NA,260798.9375,2632896,58.1669998168945,144.180999755859,58.1669998168945,0,0,1,0,3,9,0,1,0,0,0,0,1,0,1,2,"switch",0,1,0,"50to100","none",NA,NA,NA,NA,"151to250","unsafe",0
"59",60,447,0,2,1,1,0,1,0,12,1,1,"pw",1,24,NA,NA,NA,14,NA,NA,"",NA,260792.1875,2632877.75,72.3460006713867,125.178001403809,72.3460006713867,0,0,1,0,3,7,8,1,0,0,0,0,1,0,1,1,"switch",0,0,0,"50to100","6to10",NA,NA,NA,NA,"351to450","unsafe",1
"60",61,152,0,12,1,1,0,0,0,12,1,1,"pw",1,36,NA,NA,NA,NA,NA,NA,"",NA,260805,2632913,40.318000793457,161.699996948242,40.318000793457,0,0,0,1,7,13,0,1,0,0,0,0,0,1,2,2,"switch",1,0,0,"0to50","none",NA,NA,NA,NA,"151to250","unsafe",0
"61",62,180,0,1,1,1,0,0,0,0,1,1,"pw",1,36,NA,NA,NA,NA,NA,NA,"",NA,260791.265625,2632863.75,67.2190017700195,113.543998718262,67.2190017700195,0,0,1,0,3,7,0,1,0,0,0,0,1,0,1,1,"switch",1,0,0,"50to100","none",NA,NA,NA,NA,"151to250","unsafe",0
"62",63,51,0,13,1,1,0,23,0,12,1,1,"no",NA,NA,NA,NA,NA,NA,NA,NA,"",4,260277.4375,2632867.5,99.0130004882812,452.572998046875,99.0130004882812,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,"noswitch",0,0,0,"50to100","none",NA,NA,NA,NA,"51to150","unsafe",0
"63",64,20,0,13,1,1,1,23,1,12,1,1,"no",NA,NA,NA,NA,4,NA,NA,NA,"",NA,260281.625,2632853,111.63500213623,445.725006103516,111.63500213623,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,"noswitch",0,0,0,"100to150","1to5",0,1,1,NA,"0to50","safe",0
"64",65,64,0,2,1,1,1,0,0,12,1,1,"pw",1,24,NA,NA,NA,NA,NA,NA,"",NA,260274.09375,2632840,115.91300201416,451.079010009766,115.91300201416,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,"switch",0,0,0,"100to150","none",NA,NA,NA,NA,"51to150","unsafe",0
"65",66,71,3,0,0,1,1,0,0,12,1,1,"pw",1,30,NA,NA,NA,NA,NA,NA,"",NA,260286.78125,2632836.25,127.098999023438,437.996002197266,127.098999023438,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,1,"switch",0,0,0,"100to150","over10",NA,NA,NA,NA,"51to150","unsafe",0
"66",67,41,1,3,1,1,0,23,1,12,0,1,"no",NA,NA,NA,NA,6,NA,NA,NA,"",NA,260246.0625,2632860.75,82.5739974975586,482.070007324219,82.5739974975586,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,"noswitch",0,0,0,"50to100","none",0,1,1,NA,"0to50","safe",0
"67",68,5,1,3,1,1,0,23,1,12,0,1,"no",NA,NA,NA,NA,5,NA,NA,NA,"",NA,260236.140625,2632857.25,80.6129989624023,491.227996826172,80.6129989624023,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,"noswitch",0,0,0,"50to100","none",0,1,1,NA,"0to50","safe",0
"68",69,16,0,0,1,2,1,23,1,2,1,1,"no",NA,NA,NA,NA,3,NA,NA,NA,"",NA,260270.890625,2632769.5,174.811996459961,441.197998046875,174.811996459961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noswitch",0,0,0,"150plus","none",0,1,0,NA,"0to50","safe",0
"69",70,30,0,12,1,1,0,23,1,12,1,1,"no",NA,NA,NA,NA,1,NA,NA,NA,"",NA,260233.109375,2632745.75,139.923004150391,445.255004882812,139.923004150391,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,"noswitch",0,0,0,"100to150","1to5",0,0,1,NA,"0to50","safe",0
"70",71,35,0,3,1,1,1,23,1,12,0,1,"no",NA,NA,NA,NA,0,NA,NA,NA,"",NA,260194.34375,2632744.5,101.147003173828,470.131988525391,101.147003173828,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,"noswitch",0,0,0,"100to150","6to10",0,1,1,NA,"0to50","safe",0
"71",72,21,0,3,1,1,1,23,1,12,0,1,"no",NA,NA,NA,NA,0,NA,NA,NA,"",NA,260191.453125,2632744.75,98.2630004882812,472.299987792969,98.2630004882812,0,0,0,0,1,1,9,0,0,0,0,0,0,0,1,0,"noswitch",0,0,0,"50to100","6to10",0,1,1,NA,"0to50","safe",0
"72",73,46,3,0,0,3,1,0,1,12,0,0,"cworpw",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,260162.890625,2632753.75,70.2939987182617,498.805999755859,70.2939987182617,0,0,0,0,1,4,5,NA,NA,0,0,0,0,0,1,1,"switch",0,0,0,"50to100","1to5",1,1,0,0,"0to50","safe",0
"73",74,101,2,0,1,1,1,0,2,NA,1,1,"dugnew",NA,6,NA,NA,NA,NA,NA,NA,"",NA,260164.703125,2632750.75,71.7990036010742,495.545013427734,71.7990036010742,0,0,0,0,1,4,5,NA,NA,1,0,0,0,0,1,1,"switch",1,0,0,"50to100","1to5",NA,NA,NA,NA,"51to150","unsafe",0
"74",75,28,0,3,1,1,0,23,1,1,0,1,"no",NA,NA,NA,NA,3,NA,NA,NA,"",NA,260194.75,2632666.25,128.134994506836,416.921997070312,128.134994506836,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,"noswitch",0,0,0,"100to150","6to10",0,1,1,NA,"0to50","safe",0
"75",76,74,0,12,1,1,0,0,0,1,1,1,"pw",1,36,NA,NA,NA,NA,NA,NA,"",NA,260213.15625,2632669.25,141.535995483398,404.713012695312,141.535995483398,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,1,"switch",0,0,0,"100to150","6to10",NA,NA,NA,NA,"51to150","unsafe",0
"76",77,181,2,0,1,1,1,1,2,NA,1,1,"pw",1,36,NA,NA,NA,4,NA,NA,"",NA,260137.125,2632542.75,84.6460037231445,406.480987548828,84.6460037231445,0,0,0,0,2,3,0,1,0,0,0,0,0,0,1,1,"switch",1,0,0,"50to100","none",NA,NA,NA,NA,"151to250","unsafe",0
"77",78,269,0,2,1,1,0,0,0,2,0,1,"pw",1,36,NA,NA,NA,NA,NA,NA,"",NA,260119.765625,2632530.25,65.931999206543,419.029998779297,65.931999206543,0,0,0,0,3,3,0,1,0,0,0,0,0,0,1,0,"switch",0,1,0,"50to100","none",NA,NA,NA,NA,"251to350","unsafe",0
"78",79,485,0,12,1,1,1,1,0,12,1,1,"pw",1,36,NA,NA,NA,4,NA,NA,"",NA,260121.65625,2632522.25,67.9400024414062,414.835998535156,67.9400024414062,0,0,0,0,3,4,0,1,0,0,0,0,0,0,1,1,"switch",0,0,0,"50to100","none",NA,NA,NA,NA,"451to550","unsafe",1
"79",80,318,2,0,1,1,0,0,0,2,1,1,"pw",1,36,NA,NA,NA,NA,NA,NA,"",NA,260117.84375,2632517.25,64.697998046875,417.149993896484,64.697998046875,0,0,0,0,3,4,6,1,0,0,0,0,0,0,1,1,"switch",0,0,1,"50to100","6to10",NA,NA,NA,NA,"251to350","unsafe",0
"80",81,506,0,12,1,1,1,0,0,2,1,1,"pw",1,36,NA,NA,NA,NA,NA,NA,"",NA,260125.171875,2632498.5,62.6349983215332,405.351013183594,62.6349983215332,0,0,0,0,3,4,10,1,0,0,0,0,0,0,1,1,"switch",0,0,0,"50to100","6to10",NA,NA,NA,NA,"451to550","unsafe",1
"81",82,269,0,12,1,2,0,0,0,12,1,1,"pw",1,36,NA,NA,NA,NA,NA,NA,"",NA,260123.328125,2632479,47.9090003967285,403.114990234375,47.9090003967285,0,0,0,1,3,5,10,1,0,0,0,0,0,1,1,1,"switch",0,1,0,"0to50","6to10",NA,NA,NA,NA,"251to350","unsafe",0
